text,gloss
[ASL] Can you sign Sign 0049?,[ASL] CAN YOU SIGN SIGN 0049?
[ASL] Repeat Sign 0049,[ASL] REPEAT SIGN 0049
[ASL] This is Sign 0049,[ASL] THIS SIGN 0049
[ASL] This is Sign 0050,[ASL] THIS SIGN 0050
[ASL] Wait for Sign 0050,[ASL] WAIT FOR SIGN 0050
[ASL] Show me Sign 0050,[ASL] SHOW ME SIGN 0050
[ASL] This is Sign 0051,[ASL] THIS SIGN 0051
[ASL] Can you sign Sign 0051?,[ASL] CAN YOU SIGN SIGN 0051?
[ASL] Learn Sign 0051,[ASL] LEARN SIGN 0051
[ASL] Repeat Sign 0052,[ASL] REPEAT SIGN 0052
[ASL] This is Sign 0052,[ASL] THIS SIGN 0052
[ASL] Translate Sign 0052,[ASL] TRANSLATE SIGN 0052
[ASL] I like Sign 0053,[ASL] I LIKE SIGN 0053
[ASL] What is Sign 0053?,[ASL] WHAT SIGN 0053?
[ASL] Wait for Sign 0053,[ASL] WAIT FOR SIGN 0053
[ASL] Translate Sign 0054,[ASL] TRANSLATE SIGN 0054
[ASL] I like Sign 0054,[ASL] I LIKE SIGN 0054
[ASL] Wait for Sign 0054,[ASL] WAIT FOR SIGN 0054
[ASL] See Sign 0055,[ASL] SEE SIGN 0055
[ASL] Repeat Sign 0055,[ASL] REPEAT SIGN 0055
[ASL] Can you sign Sign 0056?,[ASL] CAN YOU SIGN SIGN 0056?
[ASL] Learn Sign 0056,[ASL] LEARN SIGN 0056
[ASL] Wait for Sign 0056,[ASL] WAIT FOR SIGN 0056
[ASL] Can you sign Sign 0057?,[ASL] CAN YOU SIGN SIGN 0057?
[ASL] Repeat Sign 0057,[ASL] REPEAT SIGN 0057
[ASL] Show me Sign 0057,[ASL] SHOW ME SIGN 0057
[ASL] Wait for Sign 0058,[ASL] WAIT FOR SIGN 0058
[ASL] Show me Sign 0058,[ASL] SHOW ME SIGN 0058
[ASL] What is Sign 0059?,[ASL] WHAT SIGN 0059?
[ASL] This is Sign 0059,[ASL] THIS SIGN 0059
[ASL] See Sign 0059,[ASL] SEE SIGN 0059
[ASL] What is Sign 0060?,[ASL] WHAT SIGN 0060?
[ASL] See Sign 0060,[ASL] SEE SIGN 0060
[ASL] Learn Sign 0060,[ASL] LEARN SIGN 0060
[ASL] Wait for Sign 0061,[ASL] WAIT FOR SIGN 0061
[ASL] See Sign 0061,[ASL] SEE SIGN 0061
[ASL] I like Sign 0062,[ASL] I LIKE SIGN 0062
[ASL] Wait for Sign 0062,[ASL] WAIT FOR SIGN 0062
[ASL] Learn Sign 0063,[ASL] LEARN SIGN 0063
[ASL] Repeat Sign 0064,[ASL] REPEAT SIGN 0064
[ASL] See Sign 0064,[ASL] SEE SIGN 0064
[ASL] Translate Sign 0065,[ASL] TRANSLATE SIGN 0065
[ASL] Learn Sign 0065,[ASL] LEARN SIGN 0065
[ASL] Learn Sign 0066,[ASL] LEARN SIGN 0066
[ASL] Repeat Sign 0066,[ASL] REPEAT SIGN 0066
[ASL] This is Sign 0066,[ASL] THIS SIGN 0066
[ASL] Show me Sign 0067,[ASL] SHOW ME SIGN 0067
[ASL] Can you sign Sign 0067?,[ASL] CAN YOU SIGN SIGN 0067?
[ASL] What is Sign 0067?,[ASL] WHAT SIGN 0067?
[ASL] I like Sign 0068,[ASL] I LIKE SIGN 0068
[ASL] Translate Sign 0068,[ASL] TRANSLATE SIGN 0068
[ASL] Can you sign Sign 0068?,[ASL] CAN YOU SIGN SIGN 0068?
[ASL] See Sign 0069,[ASL] SEE SIGN 0069
[ASL] Show me Sign 0069,[ASL] SHOW ME SIGN 0069
[ASL] Learn Sign 0069,[ASL] LEARN SIGN 0069
[ASL] Repeat Sign 0070,[ASL] REPEAT SIGN 0070
[ASL] I like Sign 0070,[ASL] I LIKE SIGN 0070
[ASL] Can you sign Sign 0070?,[ASL] CAN YOU SIGN SIGN 0070?
[ASL] Can you sign Sign 0071?,[ASL] CAN YOU SIGN SIGN 0071?
[ASL] What is Sign 0071?,[ASL] WHAT SIGN 0071?
[ASL] I like Sign 0071,[ASL] I LIKE SIGN 0071
[ASL] I like Sign 0072,[ASL] I LIKE SIGN 0072
[ASL] See Sign 0072,[ASL] SEE SIGN 0072
[ASL] Learn Sign 0072,[ASL] LEARN SIGN 0072
[ASL] I like Sign 0073,[ASL] I LIKE SIGN 0073
[ASL] What is Sign 0073?,[ASL] WHAT SIGN 0073?
[ASL] Wait for Sign 0073,[ASL] WAIT FOR SIGN 0073
[ASL] Can you sign Sign 0074?,[ASL] CAN YOU SIGN SIGN 0074?
[ASL] Repeat Sign 0074,[ASL] REPEAT SIGN 0074
[ASL] Show me Sign 0074,[ASL] SHOW ME SIGN 0074
[ASL] See Sign 0075,[ASL] SEE SIGN 0075
[ASL] Repeat Sign 0075,[ASL] REPEAT SIGN 0075
[ASL] What is Sign 0075?,[ASL] WHAT SIGN 0075?
[ASL] Translate Sign 0076,[ASL] TRANSLATE SIGN 0076
[ASL] Wait for Sign 0076,[ASL] WAIT FOR SIGN 0076
[ASL] This is Sign 0076,[ASL] THIS SIGN 0076
[ASL] Learn Sign 0077,[ASL] LEARN SIGN 0077
[ASL] Wait for Sign 0077,[ASL] WAIT FOR SIGN 0077
[ASL] Show me Sign 0077,[ASL] SHOW ME SIGN 0077
[ASL] Translate Sign 0078,[ASL] TRANSLATE SIGN 0078
[ASL] This is Sign 0078,[ASL] THIS SIGN 0078
[ASL] This is Sign 0079,[ASL] THIS SIGN 0079
[ASL] I like Sign 0079,[ASL] I LIKE SIGN 0079
[ASL] Translate Sign 0079,[ASL] TRANSLATE SIGN 0079
[ASL] Wait for Sign 0080,[ASL] WAIT FOR SIGN 0080
[ASL] See Sign 0080,[ASL] SEE SIGN 0080
[ASL] Can you sign Sign 0080?,[ASL] CAN YOU SIGN SIGN 0080?
[ASL] What is Sign 0081?,[ASL] WHAT SIGN 0081?
[ASL] See Sign 0081,[ASL] SEE SIGN 0081
[ASL] Translate Sign 0081,[ASL] TRANSLATE SIGN 0081
[ASL] Wait for Sign 0082,[ASL] WAIT FOR SIGN 0082
[ASL] This is Sign 0082,[ASL] THIS SIGN 0082
[ASL] What is Sign 0083?,[ASL] WHAT SIGN 0083?
[ASL] Translate Sign 0083,[ASL] TRANSLATE SIGN 0083
[ASL] See Sign 0084,[ASL] SEE SIGN 0084
[ASL] I like Sign 0084,[ASL] I LIKE SIGN 0084
[ASL] Show me Sign 0084,[ASL] SHOW ME SIGN 0084
[ASL] Translate Sign 0085,[ASL] TRANSLATE SIGN 0085
[ASL] See Sign 0085,[ASL] SEE SIGN 0085
[ASL] Can you sign Sign 0085?,[ASL] CAN YOU SIGN SIGN 0085?
[ASL] Show me Sign 0086,[ASL] SHOW ME SIGN 0086
[ASL] Wait for Sign 0086,[ASL] WAIT FOR SIGN 0086
[ASL] Translate Sign 0086,[ASL] TRANSLATE SIGN 0086
[ASL] What is Sign 0087?,[ASL] WHAT SIGN 0087?
[ASL] Learn Sign 0087,[ASL] LEARN SIGN 0087
[ASL] Show me Sign 0087,[ASL] SHOW ME SIGN 0087
[ASL] Show me Sign 0088,[ASL] SHOW ME SIGN 0088
[ASL] Wait for Sign 0088,[ASL] WAIT FOR SIGN 0088
[ASL] I like Sign 0088,[ASL] I LIKE SIGN 0088
[ASL] Can you sign Sign 0089?,[ASL] CAN YOU SIGN SIGN 0089?
[ASL] See Sign 0089,[ASL] SEE SIGN 0089
[ASL] Repeat Sign 0089,[ASL] REPEAT SIGN 0089
[ASL] See Sign 0090,[ASL] SEE SIGN 0090
[ASL] This is Sign 0090,[ASL] THIS SIGN 0090
[ASL] Translate Sign 0090,[ASL] TRANSLATE SIGN 0090
[ASL] Learn Sign 0091,[ASL] LEARN SIGN 0091
[ASL] Translate Sign 0091,[ASL] TRANSLATE SIGN 0091
[ASL] Show me Sign 0091,[ASL] SHOW ME SIGN 0091
[ASL] What is Sign 0092?,[ASL] WHAT SIGN 0092?
[ASL] Repeat Sign 0092,[ASL] REPEAT SIGN 0092
[ASL] Show me Sign 0093,[ASL] SHOW ME SIGN 0093
[ASL] I like Sign 0093,[ASL] I LIKE SIGN 0093
[ASL] Learn Sign 0093,[ASL] LEARN SIGN 0093
[ASL] Can you sign Sign 0094?,[ASL] CAN YOU SIGN SIGN 0094?
[ASL] Show me Sign 0094,[ASL] SHOW ME SIGN 0094
[ASL] What is Sign 0094?,[ASL] WHAT SIGN 0094?
[ASL] Wait for Sign 0095,[ASL] WAIT FOR SIGN 0095
[ASL] Repeat Sign 0095,[ASL] REPEAT SIGN 0095
[ASL] Can you sign Sign 0095?,[ASL] CAN YOU SIGN SIGN 0095?
[ASL] Repeat Sign 0096,[ASL] REPEAT SIGN 0096
[ASL] Learn Sign 0096,[ASL] LEARN SIGN 0096
[ASL] Show me Sign 0096,[ASL] SHOW ME SIGN 0096
[ASL] What is Sign 0097?,[ASL] WHAT SIGN 0097?
[ASL] Can you sign Sign 0097?,[ASL] CAN YOU SIGN SIGN 0097?
[ASL] See Sign 0097,[ASL] SEE SIGN 0097
[ASL] What is Sign 0098?,[ASL] WHAT SIGN 0098?
[ASL] Learn Sign 0098,[ASL] LEARN SIGN 0098
[ASL] I like Sign 0099,[ASL] I LIKE SIGN 0099
[ASL] What is Sign 0099?,[ASL] WHAT SIGN 0099?
[ASL] Can you sign Sign 0099?,[ASL] CAN YOU SIGN SIGN 0099?
[ASL] I like Sign 0000,[ASL] I LIKE SIGN 0000
[ASL] Can you sign Sign 0000?,[ASL] CAN YOU SIGN SIGN 0000?
[ASL] Can you sign Sign 0001?,[ASL] CAN YOU SIGN SIGN 0001?
[ASL] Wait for Sign 0002,[ASL] WAIT FOR SIGN 0002
[ASL] Learn Sign 0002,[ASL] LEARN SIGN 0002
[ASL] Show me Sign 0003,[ASL] SHOW ME SIGN 0003
[ASL] This is Sign 0004,[ASL] THIS SIGN 0004
[ASL] Learn Sign 0004,[ASL] LEARN SIGN 0004
[ASL] Repeat Sign 0006,[ASL] REPEAT SIGN 0006
[ASL] What is Sign 0006?,[ASL] WHAT SIGN 0006?
[ASL] Repeat Sign 0007,[ASL] REPEAT SIGN 0007
[ASL] What is Sign 0007?,[ASL] WHAT SIGN 0007?
[ASL] Translate Sign 0008,[ASL] TRANSLATE SIGN 0008
[ASL] Learn Sign 0008,[ASL] LEARN SIGN 0008
[ASL] Repeat Sign 0008,[ASL] REPEAT SIGN 0008
[ASL] What is Sign 0009?,[ASL] WHAT SIGN 0009?
[ASL] Wait for Sign 0009,[ASL] WAIT FOR SIGN 0009
[ASL] Wait for Sign 0010,[ASL] WAIT FOR SIGN 0010
[ASL] Can you sign Sign 0010?,[ASL] CAN YOU SIGN SIGN 0010?
[ASL] This is Sign 0010,[ASL] THIS SIGN 0010
[ASL] This is Sign 0011,[ASL] THIS SIGN 0011
[ASL] Repeat Sign 0012,[ASL] REPEAT SIGN 0012
[ASL] I like Sign 0012,[ASL] I LIKE SIGN 0012
[ASL] This is Sign 0012,[ASL] THIS SIGN 0012
[ASL] See Sign 0013,[ASL] SEE SIGN 0013
[ASL] This is Sign 0013,[ASL] THIS SIGN 0013
[ASL] Translate Sign 0014,[ASL] TRANSLATE SIGN 0014
[ASL] This is Sign 0014,[ASL] THIS SIGN 0014
[ASL] Wait for Sign 0015,[ASL] WAIT FOR SIGN 0015
[ASL] I like Sign 0015,[ASL] I LIKE SIGN 0015
[ASL] See Sign 0017,[ASL] SEE SIGN 0017
[ASL] Show me Sign 0018,[ASL] SHOW ME SIGN 0018
[ASL] This is Sign 0019,[ASL] THIS SIGN 0019
[ASL] I like Sign 0019,[ASL] I LIKE SIGN 0019
[ASL] Repeat Sign 0019,[ASL] REPEAT SIGN 0019
[ASL] See Sign 0020,[ASL] SEE SIGN 0020
[ASL] Learn Sign 0021,[ASL] LEARN SIGN 0021
[ASL] See Sign 0022,[ASL] SEE SIGN 0022
[ASL] Translate Sign 0022,[ASL] TRANSLATE SIGN 0022
[ASL] What is Sign 0023?,[ASL] WHAT SIGN 0023?
[ASL] Translate Sign 0023,[ASL] TRANSLATE SIGN 0023
[ASL] Can you sign Sign 0023?,[ASL] CAN YOU SIGN SIGN 0023?
[ASL] Translate Sign 0024,[ASL] TRANSLATE SIGN 0024
[ASL] Learn Sign 0024,[ASL] LEARN SIGN 0024
[ASL] Show me Sign 0024,[ASL] SHOW ME SIGN 0024
[ASL] Repeat Sign 0025,[ASL] REPEAT SIGN 0025
[ASL] Learn Sign 0026,[ASL] LEARN SIGN 0026
[ASL] See Sign 0027,[ASL] SEE SIGN 0027
[ASL] Show me Sign 0027,[ASL] SHOW ME SIGN 0027
[ASL] Repeat Sign 0028,[ASL] REPEAT SIGN 0028
[ASL] Translate Sign 0029,[ASL] TRANSLATE SIGN 0029
[ASL] Wait for Sign 0030,[ASL] WAIT FOR SIGN 0030
[ASL] I like Sign 0031,[ASL] I LIKE SIGN 0031
[ASL] This is Sign 0032,[ASL] THIS SIGN 0032
[ASL] Translate Sign 0033,[ASL] TRANSLATE SIGN 0033
[ASL] Wait for Sign 0034,[ASL] WAIT FOR SIGN 0034
[ASL] What is Sign 0034?,[ASL] WHAT SIGN 0034?
[ASL] This is Sign 0034,[ASL] THIS SIGN 0034
[ASL] See Sign 0035,[ASL] SEE SIGN 0035
[ASL] See Sign 0036,[ASL] SEE SIGN 0036
[ASL] Learn Sign 0036,[ASL] LEARN SIGN 0036
[ASL] Repeat Sign 0037,[ASL] REPEAT SIGN 0037
[ASL] This is Sign 0037,[ASL] THIS SIGN 0037
[ASL] See Sign 0038,[ASL] SEE SIGN 0038
[ASL] Repeat Sign 0038,[ASL] REPEAT SIGN 0038
[ASL] Repeat Sign 0039,[ASL] REPEAT SIGN 0039
[ASL] See Sign 0040,[ASL] SEE SIGN 0040
[ASL] What is Sign 0040?,[ASL] WHAT SIGN 0040?
[ASL] Wait for Sign 0041,[ASL] WAIT FOR SIGN 0041
[ASL] Learn Sign 0042,[ASL] LEARN SIGN 0042
[ASL] Repeat Sign 0042,[ASL] REPEAT SIGN 0042
[ASL] See Sign 0043,[ASL] SEE SIGN 0043
[ASL] Wait for Sign 0043,[ASL] WAIT FOR SIGN 0043
[ASL] Repeat Sign 0043,[ASL] REPEAT SIGN 0043
[ASL] Repeat Sign 0044,[ASL] REPEAT SIGN 0044
[ASL] Translate Sign 0044,[ASL] TRANSLATE SIGN 0044
[ASL] Show me Sign 0044,[ASL] SHOW ME SIGN 0044
[ASL] I like Sign 0045,[ASL] I LIKE SIGN 0045
[ASL] What is Sign 0045?,[ASL] WHAT SIGN 0045?
[ASL] This is Sign 0046,[ASL] THIS SIGN 0046
[ASL] What is Sign 0047?,[ASL] WHAT SIGN 0047?
[ASL] Learn Sign 0048,[ASL] LEARN SIGN 0048
[ASL] This is Sign 0048,[ASL] THIS SIGN 0048
[ASL] Translate Sign 0049,[ASL] TRANSLATE SIGN 0049
[ASL] What is Sign 0049?,[ASL] WHAT SIGN 0049?
[ASL] What is Sign 0050?,[ASL] WHAT SIGN 0050?
[ASL] Can you sign Sign 0050?,[ASL] CAN YOU SIGN SIGN 0050?
[ASL] See Sign 0051,[ASL] SEE SIGN 0051
[ASL] Wait for Sign 0051,[ASL] WAIT FOR SIGN 0051
[ASL] Show me Sign 0052,[ASL] SHOW ME SIGN 0052
[ASL] Wait for Sign 0052,[ASL] WAIT FOR SIGN 0052
[ASL] Can you sign Sign 0053?,[ASL] CAN YOU SIGN SIGN 0053?
[ASL] Translate Sign 0053,[ASL] TRANSLATE SIGN 0053
[ASL] See Sign 0054,[ASL] SEE SIGN 0054
[ASL] Learn Sign 0054,[ASL] LEARN SIGN 0054
[ASL] I like Sign 0057,[ASL] I LIKE SIGN 0057
[ASL] Wait for Sign 0057,[ASL] WAIT FOR SIGN 0057
[ASL] Repeat Sign 0058,[ASL] REPEAT SIGN 0058
[ASL] I like Sign 0059,[ASL] I LIKE SIGN 0059
[ASL] Translate Sign 0059,[ASL] TRANSLATE SIGN 0059
[ASL] Show me Sign 0060,[ASL] SHOW ME SIGN 0060
[ASL] Can you sign Sign 0060?,[ASL] CAN YOU SIGN SIGN 0060?
[ASL] I like Sign 0060,[ASL] I LIKE SIGN 0060
[ASL] Translate Sign 0061,[ASL] TRANSLATE SIGN 0061
[ASL] Repeat Sign 0062,[ASL] REPEAT SIGN 0062
[ASL] Translate Sign 0063,[ASL] TRANSLATE SIGN 0063
[ASL] See Sign 0063,[ASL] SEE SIGN 0063
[ASL] Wait for Sign 0064,[ASL] WAIT FOR SIGN 0064
[ASL] Can you sign Sign 0064?,[ASL] CAN YOU SIGN SIGN 0064?
[ASL] Show me Sign 0064,[ASL] SHOW ME SIGN 0064
[ASL] Show me Sign 0065,[ASL] SHOW ME SIGN 0065
[ASL] Can you sign Sign 0065?,[ASL] CAN YOU SIGN SIGN 0065?
[ASL] Wait for Sign 0066,[ASL] WAIT FOR SIGN 0066
[ASL] Can you sign Sign 0066?,[ASL] CAN YOU SIGN SIGN 0066?
[ASL] Translate Sign 0067,[ASL] TRANSLATE SIGN 0067
[ASL] Repeat Sign 0067,[ASL] REPEAT SIGN 0067
[ASL] Repeat Sign 0068,[ASL] REPEAT SIGN 0068
[ASL] Show me Sign 0068,[ASL] SHOW ME SIGN 0068
[ASL] Can you sign Sign 0069?,[ASL] CAN YOU SIGN SIGN 0069?
[ASL] Repeat Sign 0069,[ASL] REPEAT SIGN 0069
[ASL] Wait for Sign 0069,[ASL] WAIT FOR SIGN 0069
[ASL] Show me Sign 0070,[ASL] SHOW ME SIGN 0070
[ASL] Wait for Sign 0070,[ASL] WAIT FOR SIGN 0070
[ASL] Show me Sign 0071,[ASL] SHOW ME SIGN 0071
[ASL] What is Sign 0072?,[ASL] WHAT SIGN 0072?
[ASL] Show me Sign 0072,[ASL] SHOW ME SIGN 0072
[ASL] This is Sign 0073,[ASL] THIS SIGN 0073
[ASL] Can you sign Sign 0073?,[ASL] CAN YOU SIGN SIGN 0073?
[ASL] Wait for Sign 0074,[ASL] WAIT FOR SIGN 0074
[ASL] I like Sign 0074,[ASL] I LIKE SIGN 0074
[ASL] This is Sign 0075,[ASL] THIS SIGN 0075
[ASL] Can you sign Sign 0075?,[ASL] CAN YOU SIGN SIGN 0075?
[ASL] Learn Sign 0075,[ASL] LEARN SIGN 0075
[ASL] Learn Sign 0076,[ASL] LEARN SIGN 0076
[ASL] Can you sign Sign 0076?,[ASL] CAN YOU SIGN SIGN 0076?
[ASL] See Sign 0077,[ASL] SEE SIGN 0077
[ASL] Translate Sign 0077,[ASL] TRANSLATE SIGN 0077
[ASL] Repeat Sign 0077,[ASL] REPEAT SIGN 0077
[ASL] Repeat Sign 0078,[ASL] REPEAT SIGN 0078
[ASL] Show me Sign 0078,[ASL] SHOW ME SIGN 0078
